Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
-,10.024,1028.61609,50497.53914,,,false,false,,
-,10.024,1149.73413,36293.48464,,,false,false,,
+,10.024,820.62103,442515.556,,,false,false,,
+,10.024,687.20264,161812.6854,,,false,false,,
-,10.025,878.62982,111240.4655,Plasmanyl-PC O-18:1_22:5,,false,false,false,
-,10.025,847.58105,31042.57272,,,false,false,,
-,10.025,1046.58679,13654.62595,,,false,false,,
+,10.025,834.59845,1408969.449,PC 40:6,,true,true,false,
+,10.025,684.20398,1043001.52,,,false,false,,
-,10.026,902.5127,9362.297939,,,false,false,,
+,10.026,587.54071,89085.7873,,,false,false,,
+,10.029,912.64569,76358.83454,,,false,false,,
+,10.03,750.54156,341432.7876,,,false,false,,
+,10.031,728.56,4396033.252,Plasmenyl-PE P-18:1_18:1,,true,true,false,
-,10.032,636.55829,118491.111,,,false,false,,
-,10.032,890.55414,27890.38759,,,false,false,,
+,10.033,850.57251,715989.9996,,,true,false,,
+,10.033,960.76941,56253.8779,,,false,false,,
+,10.036,856.53943,35370.8146,,,false,false,,
-,10.037,808.54913,243443.9263,,,false,false,,
-,10.038,890.63391,57681.86161,,,false,false,,
-,10.038,576.5368,50965.20199,Cer[NS] d37:2,,false,false,false,
-,10.04,1034.62915,26294.48416,,,false,false,,
+,10.04,848.61127,155484.4783,,,false,false,,
+,10.04,766.50323,35629.67215,,,false,false,,
-,10.041,884.53644,68434.65636,,,false,false,,
-,10.042,564.53705,41768.46998,,,false,false,,
-,10.043,624.55829,85393.403,,,false,false,,
+,10.045,452.48273,47390.32787,,,false,false,,
-,10.047,965.73901,16574.53121,,,false,false,,
-,10.048,613.4635,214874.109,,,false,false,,
-,10.051,421.40564,56085.88263,,,false,false,,
-,10.054,905.48779,24288.37461,,,false,false,,
+,10.056,844.60852,2055897.92,,,false,false,,
+,10.059,949.26685,32846.14668,,,false,false,,
-,10.062,814.599,58239.60691,,,false,false,,
+,10.064,830.59351,42754.99138,,,false,false,,
-,10.065,810.52734,261976.9421,,,false,false,,
-,10.065,826.50336,28879.77146,,,false,false,,
-,10.065,886.51294,34839.16275,,,false,false,,
+,10.067,798.54279,119320.568,,,false,false,,
+,10.067,832.57996,20654.93507,,,false,false,,
+,10.072,838.5675,70134.81265,,,false,false,,
-,10.074,932.67749,17248.10488,,,false,false,,
+,10.074,468.51395,966446.7055,,,false,false,,
+,10.075,599.64502,27793.36313,,,false,false,,
-,10.076,868.64716,53605.50961,,,false,false,,
-,10.076,745.61572,27056.36277,,,false,false,,
+,10.076,568.60284,89006.90953,,,false,false,,
+,10.079,343.29556,54841.52536,,,false,false,,
-,10.08,651.47748,50704.3525,,,false,false,,
+,10.08,313.27353,156519.6124,,,false,false,,
-,10.081,1213.7699,39836.2171,,,false,false,,
+,10.081,634.54102,1065787.757,,,true,false,,
+,10.081,810.63885,253784.6704,,,false,false,,
+,10.082,599.50415,36111.15231,,,false,false,,
-,10.083,675.52222,884552.4176,,,true,false,,
+,10.084,617.51447,197678.5685,,,false,false,,
-,10.085,942.69299,24375.06319,,,false,false,,
-,10.085,1002.71375,20345.73787,,,false,false,,
+,10.085,655.47034,512254.6805,,,false,false,,
+,10.085,413.26605,101995.2611,,,false,false,,
+,10.086,550.51929,34304.52487,,,false,false,,
+,10.087,639.4964,527560.6439,,,false,false,,
+,10.087,846.47876,19733.47318,,,false,false,,
-,10.088,908.63312,30190.75643,,,false,false,,
+,10.088,824.55652,45422.93219,,,false,false,,
+,10.089,874.66956,96613.04831,,,false,false,,
-,10.091,608.52722,19587.03348,,,false,false,,
+,10.091,720.55432,110169.826,,,false,false,,
-,10.093,860.58026,92213.15795,,,false,false,,
+,10.093,812.54431,163164.5447,,,false,false,,
+,10.093,944.70459,33392.98919,,,false,false,,
+,10.093,806.56879,18677.20512,,,false,false,,
+,10.094,627.53662,24717.2736,,,false,false,,
-,10.095,778.57776,1444310.25,Plasmanyl-PE O-40:5,,true,true,false,
+,10.097,780.59131,1868375.916,,,true,false,,
+,10.097,721.50769,130211.6219,,,false,false,,
-,10.099,606.54816,41179.38467,,,false,false,,
+,10.099,850.63196,515350.7187,,,false,false,,
+,10.099,625.51935,59419.2428,,,false,false,,
+,10.1,707.50177,76408.45999,,,false,false,,
-,10.102,730.5755,50778.26017,,,false,false,,
+,10.102,669.54553,39313.95665,,,false,false,,
+,10.103,681.4859,681767.9025,,,false,false,,
+,10.103,665.51184,671038.3722,,,false,false,,
+,10.103,848.27258,61464.91249,,,false,false,,
+,10.104,686.57269,265436.4143,,,false,false,,
-,10.105,677.49335,100389.5131,,,false,false,,
-,10.105,974.68384,84629.535,,,false,false,,
-,10.105,910.55353,44562.41549,,,false,false,,
-,10.106,916.56793,33606.28527,,,false,false,,
+,10.106,691.52795,126843.447,,,false,false,,
+,10.106,806.60504,108473.9068,,,false,false,,
+,10.106,938.66217,38471.44917,,,false,false,,
+,10.107,643.53033,316985.3911,,,false,false,,
-,10.108,834.5647,181382.8124,,,false,false,,
+,10.108,820.58478,843926.897,PC 39:6,,false,false,false,
+,10.108,852.64728,391058.423,,,false,false,,
-,10.109,784.54895,124343.2742,,,false,false,,
+,10.109,848.64978,458349.1918,Plasmanyl-PC O-42:6,,false,false,false,
+,10.109,678.5437,212963.3772,,,false,false,,
+,10.11,870.62762,109075.8857,,,false,false,,
+,10.111,660.55676,1857477.538,,,true,false,,
-,10.112,740.56116,69950.08647,,,false,false,,
+,10.112,916.67944,315786.031,,,false,false,,
+,10.112,726.54187,172099.9188,,,false,false,,
+,10.113,856.67987,42756.4116,,,false,false,,
+,10.113,742.50714,26591.08608,,,false,false,,
-,10.114,860.53607,32560.08282,,,false,false,,
+,10.114,754.57526,4134710.421,PE O-38:3,,true,false,false,
+,10.114,776.55695,288181.8734,,,false,false,,
-,10.115,936.63239,29105.2264,,,false,false,,
-,10.115,864.61566,27743.23314,,,false,false,,
-,10.115,840.61816,10302.21149,,,false,false,,
+,10.115,613.55579,129035.31,,,false,false,,
+,10.115,872.61584,35412.37451,,,false,false,,
-,10.116,1050.53735,14832.19919,,,false,false,,
+,10.116,339.28903,297494.8964,,,false,false,,
+,10.116,940.67053,47852.85938,,,false,false,,
-,10.117,753.56506,1519570.53,,,true,false,,
+,10.118,766.57318,589566.7452,,,false,false,,
-,10.121,702.5448,3061877.942,Plasmanyl-PE O-34:1,,true,false,false,
-,10.121,764.56171,491409.5061,,,true,false,,
-,10.121,906.66132,122469.3605,,,false,false,,
-,10.121,1570.11755,24484.57408,,,false,false,,
-,10.121,1574.15576,17428.26215,,,false,false,,
+,10.122,704.5592,2623322.587,,,true,false,,
-,10.123,1549.14136,51466.66788,,,false,false,,
+,10.123,596.63446,23078.37036,,,false,false,,
-,10.124,852.5304,48454.61262,,,false,false,,
+,10.124,792.66443,49589.97597,,,false,false,,
-,10.125,1546.13281,32880.67032,,,false,false,,
-,10.125,1566.1947,32329.09307,,,false,false,,
-,10.125,879.54358,27297.33357,,,false,false,,
+,10.125,563.53986,169123.2707,,,false,false,,
-,10.126,1548.13843,84806.85688,,,false,false,,
-,10.128,974.55298,47024.73661,,,false,false,,
+,10.128,814.55951,65352.94737,,,false,false,,
-,10.129,1520.10632,34324.50449,,,false,false,,
+,10.129,854.63507,221084.279,,,false,false,,
+,10.129,526.29285,78924.71036,,,false,false,,
-,10.13,1034.56445,63902.85156,,,false,false,,
-,10.13,1052.5387,17324.76476,,,false,false,,
-,10.131,958.5777,133608.1271,,,false,false,,
-,10.132,451.45258,117706.2756,,,false,false,,
-,10.133,1496.10889,31756.96684,,,false,false,,
+,10.133,992.70343,64421.20844,,,false,false,,
-,10.134,834.61493,247594.4164,,,false,false,,
-,10.135,916.67188,32554.76842,,,false,false,,
-,10.135,1554.15894,18383.11552,,,false,false,,
-,10.136,892.54907,209475.3283,,,false,false,,
+,10.136,818.56342,924373.2002,,,true,false,,
+,10.136,760.62231,774705.0134,,,false,false,,
-,10.137,876.57495,1335011.393,,,true,false,,
-,10.138,1541.17615,47807.16919,,,false,false,,
-,10.139,395.38947,653957.4757,,,false,false,,
-,10.139,1522.12012,40051.72557,,,false,false,,
-,10.14,1590.14722,215576.1868,,,false,false,,
-,10.14,894.49713,84138.16062,,,false,false,,
+,10.14,834.53748,544045.322,,,false,false,,
-,10.141,952.56049,270131.2329,,,false,false,,
+,10.141,852.50348,56599.20329,,,false,false,,
-,10.144,792.61499,305934.8816,,,false,false,,
-,10.144,568.53064,24828.75624,,,false,false,,
+,10.144,796.58508,2.302760841E7,PC 37:4,,true,true,false,
+,10.144,655.56635,834011.3803,,,false,false,,
-,10.145,970.53485,121673.3134,,,false,false,,
+,10.145,808.63379,66063.65861,,,false,false,,
+,10.145,880.68799,35647.59888,,,false,false,,
-,10.148,794.57269,2.490168986E7,PE 18:0_22:4,,true,true,false,
+,10.148,734.60596,1792187.469,Plasmanyl-PC O-33:0,,true,false,false,
+,10.151,902.60321,50673.98938,,,false,false,,
+,10.153,923.70313,71422.0621,,,false,false,,
+,10.154,970.72119,80720.01231,,,false,false,,
-,10.155,1579.21704,48346.34465,,,false,false,,
+,10.155,807.63629,156440.8927,,,false,false,,
-,10.159,968.7049,49572.33232,,,false,false,,
-,10.159,1004.65985,18910.30848,,,false,false,,
-,10.161,1028.72595,39600.27003,,,false,false,,
+,10.161,922.70056,130245.7711,,,false,false,,
+,10.162,804.58936,574582.7592,PE O-42:6,,false,false,false,
+,10.162,886.62952,156632.4243,,,false,false,,
+,10.169,785.6543,3379644.357,SM d40:2,,true,true,false,
-,10.17,843.66235,1065704.855,SM d40:2,,true,true,true,
+,10.171,730.5755,528418.4963,,,false,false,,
+,10.173,820.65344,1812070.396,,,true,false,,
+,10.173,866.58771,92453.50315,,,false,false,,
-,10.174,1488.14075,46390.88897,,,false,false,,
-,10.174,1515.15662,34397.60672,,,false,false,,
-,10.176,1514.15466,55240.90894,,,false,false,,
+,10.176,530.32391,131047.4446,,,false,false,,
-,10.179,802.57678,811187.0883,,,true,false,,
-,10.18,880.64471,249374.1599,,,false,false,,
+,10.181,879.54205,36274.96042,,,false,false,,
-,10.182,1582.18323,727081.8777,,,false,false,,
+,10.182,740.55804,58897.6162,,,false,false,,
+,10.183,822.63696,1025612.255,,,false,false,,
+,10.185,864.64764,3920112.408,PC 42:5,,true,true,false,
+,10.185,784.5835,2879486.762,PC 36:3,,true,false,false,
-,10.186,625.50464,62206.85942,,,false,false,,
-,10.187,836.62183,100524.2378,,,false,false,,
-,10.187,808.59338,468632.5725,,,false,false,,
-,10.188,738.50928,73139.80346,,,false,false,,
+,10.188,800.55652,868764.2634,,,false,false,,
-,10.19,922.65527,1050063.469,PC 42:5,,true,true,true,
-,10.19,811.60602,129227.259,,,false,false,,
-,10.19,866.53326,50423.43416,,,false,false,,
-,10.19,996.5708,41274.4354,,,false,false,,
+,10.191,826.5719,2201021.793,,,true,false,,
+,10.192,792.56274,308544.7296,,,false,false,,
+,10.192,860.56824,107878.4078,,,false,false,,
-,10.195,918.58331,101356.8031,,,false,false,,
-,10.195,807.59717,68777.2692,,,false,false,,
-,10.196,850.56012,359312.4328,,,false,false,,
-,10.196,1530.14746,187196.1744,,,false,false,,
-,10.196,978.59528,114233.8862,,,false,false,,
-,10.196,764.5246,53217.85974,,,false,false,,
+,10.196,544.33832,76962.81724,,,false,false,,
-,10.197,902.61115,684692.293,,,false,false,,
+,10.198,496.33951,106858.5283,,,false,false,,
+,10.198,808.52344,73518.21012,,,false,false,,
-,10.202,738.54681,127479.5921,,,false,false,,
-,10.203,1531.15027,137701.1106,,,false,false,,
+,10.204,763.60461,2.599954205E7,,,false,false,,
+,10.204,575.50366,119894.9066,,,false,false,,
-,10.205,820.60925,1.804547079E7,PC 16:0_18:0,,true,true,true,
-,10.207,806.58722,30831.8577,,,false,false,,
+,10.207,762.2182,149909.0116,,,false,false,,
+,10.208,610.54095,233067.3189,,,false,false,,
-,10.209,926.5473,53155.757,,,false,false,,
+,10.209,629.55084,414751.989,Alkenyl-DG P-18:0_20:4,,false,false,false,
-,10.21,821.61243,6970427.321,,,true,false,,
-,10.21,884.63959,372864.3923,,,false,false,,
+,10.21,826.63257,1007721.474,PC 39:3,,true,false,false,
+,10.211,771.57294,3915785.749,,,true,false,,
-,10.214,651.52179,343457.7951,,,false,false,,
-,10.217,1556.16394,1015394.903,,,true,false,,
-,10.22,768.55664,1.709481311E7,PE 18:0_20:3,,true,true,false,
+,10.22,838.63226,3488391.691,PC 20:4_20:0,,true,true,false,
-,10.221,896.63965,1016829.58,PC 20:4_20:0,,true,true,true,
-,10.229,817.64667,1261399.778,SM d38:1,,true,true,true,
-,10.23,743.60498,72663.37471,,,false,false,,
+,10.231,759.63873,3658460.506,SM d38:1,,true,true,false,
-,10.24,858.56598,41492.61123,,,false,false,,
-,10.242,799.60651,171599.2909,,,false,false,,
-,10.243,1576.15649,71920.96237,,,false,false,,
-,10.244,871.63348,1.038644341E7,,,true,false,,
-,10.244,873.64246,7456378.177,,,true,false,,
+,10.245,814.63147,6.49045629E7,PC 18:1_20:1,,true,true,false,
-,10.248,872.6391,1.574007602E7,PC 18:1_20:1,,true,true,true,
+,10.253,811.6676,1.192982506E7,SM d42:3,,true,false,false,
-,10.254,869.67578,4480544.639,SM d42:3,,true,true,true,
+,10.256,789.02045,343228.8672,,,false,false,,
+,10.256,782.87341,202320.8248,,,false,false,,
-,10.259,847.07385,194511.6422,,,false,false,,
+,10.259,788.2149,799304.568,,,true,false,,
+,10.26,789.03522,774460.0065,,,true,false,,
-,10.262,776.56128,1898667.127,Plasmanyl-PE O-40:6,,true,true,false,
+,10.263,778.57477,865467.935,PE O-40:5,,true,true,false,
-,10.265,951.67737,113147.7704,,,false,false,,
+,10.265,794.41797,329681.9746,,,false,false,,
+,10.265,782.88867,281078.7162,,,false,false,,
-,10.267,846.62518,1.324313127E8,PC 18:1_18:0,,true,true,true,
+,10.267,788.617,4.720481795E8,PC 18:1_18:0,,true,true,false,
-,10.268,846.16553,125316.386,,,false,false,,
-,10.27,772.5874,4796238.785,,,true,false,,
-,10.27,1103.74097,50785.90964,,,false,false,,
-,10.274,840.23029,44619.07935,,,false,false,,
+,10.277,919.74896,483792.3369,,,false,false,,
-,10.281,1561.19995,55697.6111,,,false,false,,
-,10.282,1022.58716,453146.3575,,,false,false,,
+,10.285,886.58411,1053923.387,,,true,false,,
+,10.289,816.57208,204226.9696,,,false,false,,
-,10.29,884.57513,161437.1632,,,false,false,,
-,10.291,1129.75122,74006.42861,,,false,false,,
-,10.291,862.6156,25846.42627,,,false,false,,
-,10.292,785.59015,158789.5722,,,false,false,,
-,10.295,784.5882,493486.0215,,,true,false,,
-,10.295,766.57721,179857.1858,,,false,false,,
-,10.295,846.19977,53223.77196,,,false,false,,
-,10.299,806.57404,48091.02344,,,false,false,,
-,10.3,822.57886,1466931.502,,,true,false,,
-,10.3,944.59998,750485.6503,,,true,false,,
-,10.3,1178.77954,41291.10729,,,false,false,,
+,10.3,846.66949,1.040636172E7,,,true,false,,
-,10.301,928.62701,5233239.209,,,true,false,,
-,10.301,1004.61292,1077742.204,,,true,false,,
-,10.302,946.58484,392219.4373,,,false,false,,
-,10.302,770.61945,89450.64071,,,false,false,,
-,10.303,582.54633,129184.9768,,,false,false,,
+,10.304,904.55609,437646.6159,,,false,false,,
-,10.308,1028.58447,47096.60528,,,false,false,,
+,10.311,905.74109,87059.04754,,,false,false,,
+,10.316,968.58508,72940.58624,,,false,false,,
+,10.32,826.57159,4759592.625,,,true,false,,
+,10.323,892.60004,377879.1132,,,false,false,,
+,10.329,624.23334,112549.6663,,,false,false,,
-,10.331,1026.60352,77322.66516,,,false,false,,
+,10.331,768.59094,143813.3795,,,false,false,,
-,10.333,769.62164,149579.5036,,,false,false,,
-,10.334,1010.63019,220344.4618,,,false,false,,
-,10.334,870.63153,47323.60581,,,false,false,,
-,10.335,1086.6167,86299.81671,,,false,false,,
+,10.335,712.58942,113894.1057,,,false,false,,
-,10.338,843.66235,1844550.417,SM d40:2,,true,true,true,
+,10.339,785.6543,5384548.91,SM d40:2,,true,true,false,
+,10.339,799.64087,1078743.961,,,false,false,,
-,10.341,767.61023,116614.8486,,,false,false,,
+,10.342,1191.78284,41326.70074,,,false,false,,
-,10.343,857.64917,259757.8725,,,false,false,,
-,10.343,925.6745,118132.5967,,,false,false,,
-,10.344,904.58533,80775.33067,,,false,false,,
+,10.345,840.57477,118455.221,,,false,false,,
-,10.347,677.5376,396639.5606,,,true,false,,
+,10.349,619.53265,73842.29513,,,false,false,,
+,10.35,807.6366,293330.0373,SM d42:5,,false,false,false,
+,10.352,576.50677,104104.921,,,false,false,,
-,10.353,792.61456,272052.6121,,,false,false,,
+,10.353,734.60596,1550491.375,Plasmanyl-PC O-33:0,,true,true,false,
-,10.354,1541.17615,37129.24476,,,false,false,,
+,10.354,818.59125,279972.2069,,,false,false,,
+,10.354,339.28912,162165.5224,,,false,false,,
-,10.355,880.64508,536938.3935,Plasmanyl-PC O-18:1_22:4,,true,true,true,
+,10.355,856.6897,84483.51998,,,false,false,,
+,10.356,822.63708,1289638.571,Plasmanyl-PC O-18:1_22:4,,true,false,false,
+,10.357,866.59302,41101.79092,,,false,false,,
-,10.358,954.64282,428311.5139,,,false,false,,
+,10.358,636.55646,737767.3024,,,false,false,,
+,10.359,601.51935,235429.7739,,,false,false,,
-,10.36,796.63275,243499.5473,,,false,false,,
-,10.36,970.61536,53024.62677,,,false,false,,
-,10.361,938.65137,29776.86036,,,false,false,,
+,10.361,575.50366,186062.9185,,,false,false,,
-,10.362,1030.63147,67418.26409,,,false,false,,
-,10.362,1137.73669,35265.72109,,,false,false,,
+,10.362,611.5462,64258.99574,,,false,false,,
-,10.363,1189.76733,377519.572,MLCL 18:2_18:1_18:1,,false,false,false,
+,10.363,820.62378,121545.398,,,false,false,,
-,10.364,613.39948,14179.1098,,,false,false,,
+,10.364,566.58606,42817.97925,,,false,false,,
-,10.365,683.52655,37230.50475,,,false,false,,
+,10.365,880.69104,77853.28537,,,false,false,,
+,10.365,718.53894,48122.81605,,,false,false,,
-,10.368,790.57855,60580.46038,,,false,false,,
-,10.368,638.57404,38997.31049,,,false,false,,
-,10.371,972.59845,33560.02754,,,false,false,,
+,10.372,660.55615,188859.3165,,,false,false,,
-,10.373,1036.64624,36652.09874,,,false,false,,
-,10.374,791.57928,58065.67658,,,false,false,,
+,10.375,780.63538,98806.90686,,,false,false,,
+,10.376,852.58844,772751.8184,,,false,false,,
+,10.376,793.59778,36798.18004,,,false,false,,
-,10.377,608.56378,132309.0825,,,false,false,,
+,10.378,641.51208,156165.4717,,,false,false,,
+,10.379,1165.76721,110794.8181,,,false,false,,
+,10.379,659.59845,25777.04133,,,false,false,,
-,10.38,1048.59973,14511.06609,,,false,false,,
+,10.38,872.685,2039505.76,,,true,false,,
-,10.382,810.53137,71510.04619,,,false,false,,
+,10.383,849.62415,102678.6106,,,false,false,,
-,10.384,834.56537,157322.6174,,,false,false,,
+,10.384,776.5575,173361.9778,,,false,false,,
+,10.384,657.48566,116908.4789,,,false,false,,
+,10.385,754.57526,3661924.895,PE O-38:3,,true,true,false,
-,10.386,820.5871,2077040.118,PE 42:5,,true,true,false,
-,10.387,753.56506,1466204.144,,,false,false,,
+,10.388,596.63483,33337.51415,,,false,false,,
-,10.389,1185.73267,25949.61621,,,false,false,,
-,10.39,1163.75146,503859.9969,MLCL 16:1_18:1_18:1,,false,false,false,
+,10.39,613.55493,42056.59258,,,false,false,,
-,10.391,818.63074,542352.9399,,,false,false,,
+,10.391,822.60052,2725428.087,PC 39:5,,true,false,false,
+,10.392,802.5741,45227.5367,,,false,false,,
+,10.392,603.53436,46840.76138,,,false,false,,
+,10.393,794.6048,57061.04723,,,false,false,,
-,10.394,1164.75513,269315.6418,,,false,false,,
+,10.395,681.58221,59215.74245,,,false,false,,
-,10.396,764.56189,199956.3008,,,false,false,,
+,10.397,766.57336,309029.5453,,,false,false,,
+,10.397,568.60303,70356.64274,,,false,false,,
-,10.398,816.57758,1120278.024,,,true,false,,
-,10.398,859.62231,33968.23948,,,false,false,,
+,10.398,782.60663,272814.7632,,,false,false,,
+,10.398,878.60443,138758.6308,,,false,false,,
+,10.398,818.68073,90358.00229,,,false,false,,
+,10.399,760.62195,3224438.453,Plasmanyl-PC O-35:1,,true,false,false,
+,10.399,466.53461,489633.4214,,,false,false,,
-,10.401,654.56897,33626.29827,,,false,false,,
+,10.401,862.63068,334592.5699,PC 42:6,,false,false,false,
+,10.402,916.67981,168661.7762,,,false,false,,
-,10.403,899.65942,453621.4687,,,false,false,,
-,10.403,980.65875,58642.08353,,,false,false,,
+,10.403,686.57281,155117.6085,,,false,false,,
-,10.404,864.57458,138109.8384,,,false,false,,
-,10.405,800.54382,122151.9813,,,false,false,,
-,10.405,689.53607,16627.77327,,,false,false,,
-,10.407,932.67786,103324.9769,,,false,false,,
-,10.408,724.61078,51758.64967,,,false,false,,
+,10.409,742.53699,117821.004,,,false,false,,
+,10.409,834.53778,35042.10436,,,false,false,,
+,10.41,860.55188,39275.81859,,,false,false,,
+,10.411,720.55457,2356153.454,PE 34:0,,true,true,false,
-,10.412,876.5744,95585.26383,,,false,false,,
+,10.412,588.53284,629468.9755,,,false,false,,
+,10.413,538.51959,245827.7538,Cer[NS] d34:1,,false,false,false,
-,10.414,719.54474,691537.1672,,,false,false,,
+,10.414,806.57074,60109.41913,,,false,false,,
-,10.415,648.56989,70675.74292,,,false,false,,
+,10.415,848.61377,160346.796,,,false,false,,
-,10.416,854.62976,118225.2075,,,false,false,,
-,10.416,860.59192,22286.41781,,,false,false,,
+,10.416,655.56628,95206.26066,,,false,false,,
-,10.417,910.6557,64154.22887,,,false,false,,
-,10.418,610.54254,111933.1742,,,false,false,,
+,10.418,579.53491,198639.6478,,,false,false,,
-,10.419,656.547,52443.94275,,,false,false,,
+,10.419,784.5838,1449756.794,PC 36:3,,true,true,false,
-,10.421,1506.15405,57220.08415,,,false,false,,
-,10.421,868.54602,32323.70621,,,false,false,,
+,10.421,548.54022,3148705.909,Cer[NS] d36:1,,true,true,true,
-,10.422,600.51379,967496.6054,,,true,false,,
-,10.422,724.52148,366649.0387,,,false,false,,
-,10.422,602.51117,322462.0649,,,false,false,,
+,10.422,566.55103,1116995.229,Cer[NS] d18:1_18:0,,true,true,true,
+,10.422,796.61957,609428.5799,Plasmanyl-PC O-38:4,,false,false,false,
+,10.422,530.5293,74871.58881,,,false,false,,
+,10.422,932.72186,29010.44206,,,false,false,,
-,10.423,782.57251,1186706.146,PE-NMe 38:3,,true,true,false,
-,10.423,1498.12097,118753.8421,,,false,false,,
+,10.423,796.58508,2294200.573,PC 37:4,,true,true,false,
+,10.423,852.64771,393840.4356,,,false,false,,
-,10.424,624.55853,9949601.997,Cer[NS] d36:1,,true,true,false,
+,10.424,624.60413,1152530.426,,,false,false,,
-,10.425,794.57269,2453072.505,PE 20:4_20:0,,true,true,false,
-,10.427,564.53662,5324401.921,Cer[NS] d18:1_18:0,,true,true,true,
+,10.427,735.57391,82813.94946,,,false,false,,
+,10.427,528.30847,18691.11947,,,false,false,,
-,10.429,627.53259,199257.9655,,,false,false,,
-,10.431,1566.14807,108807.8364,,,false,false,,
+,10.433,874.66638,867854.541,,,false,false,,
-,10.435,842.59332,353036.6583,PS 18:1_22:1,,true,true,false,
-,10.436,1532.16406,620240.4277,,,false,false,,
+,10.437,837.68518,105820.162,,,false,false,,
+,10.437,741.27942,21418.85522,,,false,false,,
-,10.44,1538.10974,300042.9915,,,false,false,,
-,10.441,1464.10046,133272.4921,,,false,false,,
-,10.444,1310.09753,560743.5874,,,false,false,,
-,10.444,1559.18396,203412.9298,,,false,false,,
-,10.447,1542.13965,69102.25483,,,false,false,,
-,10.448,836.62024,190783.9403,,,false,false,,
+,10.449,631.56653,476390.067,Alkanyl-DG O-38:4,,false,false,false,
-,10.45,770.57104,8305571.544,PE-NMe2 36:2,,true,true,false,
+,10.45,840.64838,7319940.618,PC 40:3,,true,true,false,
+,10.452,772.58502,8325182.661,PC 35:2,,true,true,false,
-,10.453,1557.17163,291725.1365,,,false,false,,
-,10.455,870.49445,76387.41389,,,false,false,,
-,10.458,1584.19312,126503.2619,,,false,false,,
+,10.458,752.55786,170825.8053,,,false,false,,
+,10.458,502.29306,203177.1007,,,false,false,,
+,10.466,746.94885,212559.9122,,,false,false,,
+,10.466,826.62427,119961.4221,,,false,false,,
-,10.468,1516.13123,897481.7683,,,true,false,,
+,10.469,746.21167,125568.6276,,,false,false,,
+,10.472,746.19873,294483.1473,,,false,false,,
+,10.474,1018.72449,197838.5655,,,false,false,,
+,10.476,746.57007,1.24724473E8,PE 18:1_18:0,,true,true,false,
-,10.477,744.55731,1.137344528E8,PE 18:1_18:0,,true,true,true,
-,10.477,744.92645,105149.8194,,,false,false,,
-,10.477,744.91766,85058.55122,,,false,false,,
+,10.477,605.55054,9126809.097,Alkanyl-DG O-18:2_18:1,,true,true,false,
+,10.478,716.55957,393934.9823,,,false,false,,
-,10.479,1490.11755,8208032.444,,,true,false,,
-,10.479,714.54572,267842.3325,,,false,false,,
+,10.479,768.55402,5380504.904,,,true,false,,
+,10.479,804.62292,1566861.927,,,true,false,,
-,10.48,1589.08398,75065.28403,,,false,false,,
+,10.48,830.60529,150536.6373,,,false,false,,
-,10.481,1512.09912,1298643.171,,,true,false,,
-,10.481,920.5166,541506.8792,,,false,false,,
+,10.481,844.53809,531142.9533,,,false,false,,
-,10.482,810.60358,1002410.589,PE-NMe 40:3,,true,true,false,
-,10.482,1593.20337,22840.67897,,,false,false,,
-,10.484,842.4873,43870.8876,,,false,false,,
+,10.485,784.52295,2127657.811,,,true,false,,
-,10.486,844.48132,1567983.759,,,true,false,,
-,10.486,676.59052,357519.9239,,,false,false,,
+,10.486,848.65222,3760391.987,Plasmanyl-PC O-20:0_22:6,,true,true,false,
-,10.487,902.54529,1240689.834,,,true,false,,
+,10.487,906.70636,256593.5624,,,false,false,,
-,10.488,842.53296,1089569.886,,,true,false,,
+,10.488,802.49182,166716.6675,,,false,false,,
-,10.489,1588.07996,143330.2854,,,false,false,,
-,10.489,616.57001,118705.2148,,,false,false,,
-,10.489,1520.16382,102947.1597,,,false,false,,
+,10.489,833.67883,591982.0939,,,false,false,,
+,10.489,900.67999,154872.9943,,,false,false,,
-,10.49,826.55927,5866040.131,,,true,false,,
-,10.49,906.66119,545185.034,Plasmanyl-PC O-20:0_22:6,,false,false,true,
-,10.49,892.60602,68915.52819,,,false,false,,
-,10.49,1594.09949,61892.13849,,,false,false,,
+,10.49,776.61646,4673735.59,PC 35:0,,true,true,false,
-,10.494,1592.19666,38564.97243,,,false,false,,
+,10.496,804.48413,69231.12924,,,false,false,,
+,10.498,834.67059,357182.6383,,,false,false,,
-,10.5,1528.06189,163362.5018,,,false,false,,
-,10.5,1500.1886,67431.68057,,,false,false,,
-,10.501,1555.21619,46068.7274,,,false,false,,
-,10.502,1336.11572,70794.97102,,,false,false,,
+,10.502,819.64288,131616.2881,,,false,false,,
-,10.503,926.51093,68413.86729,,,false,false,,
+,10.503,530.32446,249538.4069,LysoPE 22:4,,false,false,false,
+,10.504,658.48956,50046.78508,,,false,false,,
-,10.507,758.57263,39946.16334,,,false,false,,
-,10.51,1189.76758,260853.6555,MLCL 18:2_18:1_18:1,,false,false,false,
+,10.511,866.52069,113435.98,,,false,false,,
-,10.514,1548.13281,52629.14868,,,false,false,,
-,10.514,1568.20081,49189.39705,,,false,false,,
-,10.515,760.58746,195745.0212,,,false,false,,
-,10.515,1549.14307,31244.7326,,,false,false,,
+,10.515,924.71637,206878.1062,,,false,false,,
